Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
19,7,382,1,658,110,car,0.45,N/A,0
19,6,994,1,1160,192,car,0.61,N/A,0
19,5,723,64,958,342,truck,0.51,N/A,0
19,4,1241,5,1425,281,car,0.53,N/A,0
19,3,1232,289,1449,675,bus,0.51,N/A,0
19,2,184,122,695,352,car,0.73,N/A,0
19,1,1536,142,1851,363,car,0.87,N/A,0
20,23,1770,837,1911,1085,person,0.65,N/A,0
20,21,741,967,979,1081,person,0.51,N/A,0
20,20,824,968,973,1081,person,0.28,N/A,0
20,19,388,50,608,140,car,0.31,N/A,0
20,8,1230,294,1453,686,truck,0.36,N/A,0
20,7,383,1,658,110,car,0.43,N/A,0
20,6,994,1,1160,193,car,0.59,N/A,0
20,5,723,64,958,342,truck,0.55,N/A,0
20,4,1242,5,1426,279,car,0.48,N/A,0
20,3,1232,293,1452,682,bus,0.59,N/A,0
20,2,186,121,696,351,car,0.72,N/A,0
20,1,1536,136,1845,354,car,0.84,N/A,0
21,23,1765,840,1912,1085,person,0.45,N/A,0
21,19,388,50,608,140,car,0.32,N/A,0
21,8,1230,296,1453,689,truck,0.36,N/A,0
21,7,383,1,657,110,car,0.43,N/A,0
21,6,995,1,1160,193,car,0.61,N/A,0
21,5,725,65,958,343,truck,0.52,N/A,0
21,4,1244,7,1426,279,car,0.59,N/A,0
21,3,1232,294,1452,685,bus,0.54,N/A,0
21,2,184,121,696,351,car,0.73,N/A,0
21,1,1536,131,1838,345,car,0.81,N/A,0
22,23,1767,844,1915,1084,person,0.32,N/A,0
22,19,390,47,610,138,car,0.29,N/A,0
22,8,1229,299,1453,694,truck,0.52,N/A,0
22,7,385,2,657,112,car,0.42,N/A,0
22,6,994,1,1160,193,car,0.59,N/A,0
22,5,724,64,957,343,truck,0.49,N/A,0
22,4,1244,7,1425,279,car,0.54,N/A,0
22,3,1231,298,1451,689,bus,0.47,N/A,0
22,2,183,122,696,352,car,0.79,N/A,0
22,1,1534,127,1831,338,car,0.78,N/A,0
23,23,1770,849,1917,1084,person,0.34,N/A,0
23,19,391,47,610,137,car,0.28,N/A,0
23,8,1229,302,1454,699,truck,0.43,N/A,0
